date,year,quarter_num,quarter,month_num,month_name,month_short,year_month,year_quarter,week_of_year,day_of_month,day_of_week_num,day_of_week,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end
2020-03-24,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,24,2,Tuesday,False,False,False,False,False,False
2020-03-25,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,25,3,Wednesday,False,False,False,False,False,False
2020-03-26,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,26,4,Thursday,False,False,False,False,False,False
2020-03-27,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,27,5,Friday,False,False,False,False,False,False
2020-03-30,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,14,30,1,Monday,False,False,False,False,False,False
2020-03-31,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,14,31,2,Tuesday,False,True,False,True,False,False
2020-04-01,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,14,1,3,Wednesday,True,False,True,False,False,False
2020-04-02,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,14,2,4,Thursday,False,False,False,False,False,False
2020-04-03,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,14,3,5,Friday,False,False,False,False,False,False
2020-04-06,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,6,1,Monday,False,False,False,False,False,False
2020-04-07,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,7,2,Tuesday,False,False,False,False,False,False
2020-04-08,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,8,3,Wednesday,False,False,False,False,False,False
2020-04-09,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,9,4,Thursday,False,False,False,False,False,False
2020-04-13,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,13,1,Monday,False,False,False,False,False,False
2020-04-14,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,14,2,Tuesday,False,False,False,False,False,False
2020-04-15,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,15,3,Wednesday,False,False,False,False,False,False
2020-04-16,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,16,4,Thursday,False,False,False,False,False,False
2020-04-17,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,17,5,Friday,False,False,False,False,False,False
2020-04-20,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,20,1,Monday,False,False,False,False,False,False
2020-04-21,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,21,2,Tuesday,False,False,False,False,False,False
2020-04-22,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,22,3,Wednesday,False,False,False,False,False,False
2020-04-23,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,23,4,Thursday,False,False,False,False,False,False
2020-04-24,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,24,5,Friday,False,False,False,False,False,False
2020-04-27,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,18,27,1,Monday,False,False,False,False,False,False
2020-04-28,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,18,28,2,Tuesday,False,False,False,False,False,False
2020-04-29,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,18,29,3,Wednesday,False,False,False,False,False,False
2020-04-30,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,18,30,4,Thursday,False,True,False,False,False,False
2020-05-01,2020,2,Q2,5,May,May,2020-05,2020-Q2,18,1,5,Friday,True,False,False,False,False,False
2020-05-04,2020,2,Q2,5,May,May,2020-05,2020-Q2,19,4,1,Monday,False,False,False,False,False,False
2020-05-05,2020,2,Q2,5,May,May,2020-05,2020-Q2,19,5,2,Tuesday,False,False,False,False,False,False
2020-05-06,2020,2,Q2,5,May,May,2020-05,2020-Q2,19,6,3,Wednesday,False,False,False,False,False,False
2020-05-07,2020,2,Q2,5,May,May,2020-05,2020-Q2,19,7,4,Thursday,False,False,False,False,False,False
2020-05-08,2020,2,Q2,5,May,May,2020-05,2020-Q2,19,8,5,Friday,False,False,False,False,False,False
2020-05-11,2020,2,Q2,5,May,May,2020-05,2020-Q2,20,11,1,Monday,False,False,False,False,False,False
2020-05-12,2020,2,Q2,5,May,May,2020-05,2020-Q2,20,12,2,Tuesday,False,False,False,False,False,False
2020-05-13,2020,2,Q2,5,May,May,2020-05,2020-Q2,20,13,3,Wednesday,False,False,False,False,False,False
2020-05-14,2020,2,Q2,5,May,May,2020-05,2020-Q2,20,14,4,Thursday,False,False,False,False,False,False
2020-05-15,2020,2,Q2,5,May,May,2020-05,2020-Q2,20,15,5,Friday,False,False,False,False,False,False
2020-05-18,2020,2,Q2,5,May,May,2020-05,2020-Q2,21,18,1,Monday,False,False,False,False,False,False
2020-05-19,2020,2,Q2,5,May,May,2020-05,2020-Q2,21,19,2,Tuesday,False,False,False,False,False,False
2020-05-20,2020,2,Q2,5,May,May,2020-05,2020-Q2,21,20,3,Wednesday,False,False,False,False,False,False
2020-05-21,2020,2,Q2,5,May,May,2020-05,2020-Q2,21,21,4,Thursday,False,False,False,False,False,False
2020-05-22,2020,2,Q2,5,May,May,2020-05,2020-Q2,21,22,5,Friday,False,False,False,False,False,False
2020-05-26,2020,2,Q2,5,May,May,2020-05,2020-Q2,22,26,2,Tuesday,False,False,False,False,False,False
2020-05-27,2020,2,Q2,5,May,May,2020-05,2020-Q2,22,27,3,Wednesday,False,False,False,False,False,False
2020-05-28,2020,2,Q2,5,May,May,2020-05,2020-Q2,22,28,4,Thursday,False,False,False,False,False,False
2020-05-29,2020,2,Q2,5,May,May,2020-05,2020-Q2,22,29,5,Friday,False,False,False,False,False,False
2020-06-01,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,23,1,1,Monday,True,False,False,False,False,False
2020-06-02,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,23,2,2,Tuesday,False,False,False,False,False,False
2020-06-03,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,23,3,3,Wednesday,False,False,False,False,False,False
2020-06-04,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,23,4,4,Thursday,False,False,False,False,False,False
2020-06-05,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,23,5,5,Friday,False,False,False,False,False,False
2020-06-08,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,24,8,1,Monday,False,False,False,False,False,False
2020-06-09,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,24,9,2,Tuesday,False,False,False,False,False,False
2020-06-10,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,24,10,3,Wednesday,False,False,False,False,False,False
2020-06-11,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,24,11,4,Thursday,False,False,False,False,False,False
2020-06-12,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,24,12,5,Friday,False,False,False,False,False,False
2020-06-15,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,25,15,1,Monday,False,False,False,False,False,False
2020-06-16,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,25,16,2,Tuesday,False,False,False,False,False,False
2020-06-17,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,25,17,3,Wednesday,False,False,False,False,False,False
2020-06-18,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,25,18,4,Thursday,False,False,False,False,False,False
2020-06-19,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,25,19,5,Friday,False,False,False,False,False,False
2020-06-22,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,26,22,1,Monday,False,False,False,False,False,False
2020-06-23,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,26,23,2,Tuesday,False,False,False,False,False,False
2020-06-24,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,26,24,3,Wednesday,False,False,False,False,False,False
2020-06-25,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,26,25,4,Thursday,False,False,False,False,False,False
2020-06-26,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,26,26,5,Friday,False,False,False,False,False,False
2020-06-29,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,27,29,1,Monday,False,False,False,False,False,False
2020-06-30,2020,2,Q2,6,June,Jun,2020-06,2020-Q2,27,30,2,Tuesday,False,True,False,True,False,False
2020-07-01,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,27,1,3,Wednesday,True,False,True,False,False,False
2020-07-02,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,27,2,4,Thursday,False,False,False,False,False,False
2020-07-06,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,28,6,1,Monday,False,False,False,False,False,False
2020-07-07,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,28,7,2,Tuesday,False,False,False,False,False,False
2020-07-08,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,28,8,3,Wednesday,False,False,False,False,False,False
2020-07-09,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,28,9,4,Thursday,False,False,False,False,False,False
2020-07-10,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,28,10,5,Friday,False,False,False,False,False,False
2020-07-13,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,29,13,1,Monday,False,False,False,False,False,False
2020-07-14,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,29,14,2,Tuesday,False,False,False,False,False,False
2020-07-15,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,29,15,3,Wednesday,False,False,False,False,False,False
2020-07-16,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,29,16,4,Thursday,False,False,False,False,False,False
2020-07-17,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,29,17,5,Friday,False,False,False,False,False,False
2020-07-20,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,30,20,1,Monday,False,False,False,False,False,False
2020-07-21,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,30,21,2,Tuesday,False,False,False,False,False,False
2020-07-22,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,30,22,3,Wednesday,False,False,False,False,False,False
2020-07-23,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,30,23,4,Thursday,False,False,False,False,False,False
2020-07-24,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,30,24,5,Friday,False,False,False,False,False,False
2020-07-27,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,31,27,1,Monday,False,False,False,False,False,False
2020-07-28,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,31,28,2,Tuesday,False,False,False,False,False,False
2020-07-29,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,31,29,3,Wednesday,False,False,False,False,False,False
2020-07-30,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,31,30,4,Thursday,False,False,False,False,False,False
2020-07-31,2020,3,Q3,7,July,Jul,2020-07,2020-Q3,31,31,5,Friday,False,True,False,False,False,False
2020-08-03,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,32,3,1,Monday,False,False,False,False,False,False
2020-08-04,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,32,4,2,Tuesday,False,False,False,False,False,False
2020-08-05,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,32,5,3,Wednesday,False,False,False,False,False,False
2020-08-06,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,32,6,4,Thursday,False,False,False,False,False,False
2020-08-07,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,32,7,5,Friday,False,False,False,False,False,False
2020-08-10,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,33,10,1,Monday,False,False,False,False,False,False
2020-08-11,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,33,11,2,Tuesday,False,False,False,False,False,False
2020-08-12,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,33,12,3,Wednesday,False,False,False,False,False,False
2020-08-13,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,33,13,4,Thursday,False,False,False,False,False,False
2020-08-14,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,33,14,5,Friday,False,False,False,False,False,False
2020-08-17,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,34,17,1,Monday,False,False,False,False,False,False
2020-08-18,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,34,18,2,Tuesday,False,False,False,False,False,False
2020-08-19,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,34,19,3,Wednesday,False,False,False,False,False,False
2020-08-20,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,34,20,4,Thursday,False,False,False,False,False,False
2020-08-21,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,34,21,5,Friday,False,False,False,False,False,False
2020-08-24,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,35,24,1,Monday,False,False,False,False,False,False
2020-08-25,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,35,25,2,Tuesday,False,False,False,False,False,False
2020-08-26,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,35,26,3,Wednesday,False,False,False,False,False,False
2020-08-27,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,35,27,4,Thursday,False,False,False,False,False,False
2020-08-28,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,35,28,5,Friday,False,False,False,False,False,False
2020-08-31,2020,3,Q3,8,August,Aug,2020-08,2020-Q3,36,31,1,Monday,False,True,False,False,False,False
2020-09-01,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,36,1,2,Tuesday,True,False,False,False,False,False
2020-09-02,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,36,2,3,Wednesday,False,False,False,False,False,False
2020-09-03,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,36,3,4,Thursday,False,False,False,False,False,False
2020-09-04,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,36,4,5,Friday,False,False,False,False,False,False
2020-09-08,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,37,8,2,Tuesday,False,False,False,False,False,False
2020-09-09,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,37,9,3,Wednesday,False,False,False,False,False,False
2020-09-10,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,37,10,4,Thursday,False,False,False,False,False,False
2020-09-11,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,37,11,5,Friday,False,False,False,False,False,False
2020-09-14,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,38,14,1,Monday,False,False,False,False,False,False
2020-09-15,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,38,15,2,Tuesday,False,False,False,False,False,False
2020-09-16,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,38,16,3,Wednesday,False,False,False,False,False,False
2020-09-17,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,38,17,4,Thursday,False,False,False,False,False,False
2020-09-18,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,38,18,5,Friday,False,False,False,False,False,False
2020-09-21,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,39,21,1,Monday,False,False,False,False,False,False
2020-09-22,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,39,22,2,Tuesday,False,False,False,False,False,False
2020-09-23,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,39,23,3,Wednesday,False,False,False,False,False,False
2020-09-24,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,39,24,4,Thursday,False,False,False,False,False,False
2020-09-25,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,39,25,5,Friday,False,False,False,False,False,False
2020-09-28,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,40,28,1,Monday,False,False,False,False,False,False
2020-09-29,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,40,29,2,Tuesday,False,False,False,False,False,False
2020-09-30,2020,3,Q3,9,September,Sep,2020-09,2020-Q3,40,30,3,Wednesday,False,True,False,True,False,False
2020-10-01,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,40,1,4,Thursday,True,False,True,False,False,False
2020-10-02,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,40,2,5,Friday,False,False,False,False,False,False
2020-10-05,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,41,5,1,Monday,False,False,False,False,False,False
2020-10-06,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,41,6,2,Tuesday,False,False,False,False,False,False
2020-10-07,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,41,7,3,Wednesday,False,False,False,False,False,False
2020-10-08,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,41,8,4,Thursday,False,False,False,False,False,False
2020-10-09,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,41,9,5,Friday,False,False,False,False,False,False
2020-10-12,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,42,12,1,Monday,False,False,False,False,False,False
2020-10-13,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,42,13,2,Tuesday,False,False,False,False,False,False
2020-10-14,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,42,14,3,Wednesday,False,False,False,False,False,False
2020-10-15,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,42,15,4,Thursday,False,False,False,False,False,False
2020-10-16,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,42,16,5,Friday,False,False,False,False,False,False
2020-10-19,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,43,19,1,Monday,False,False,False,False,False,False
2020-10-20,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,43,20,2,Tuesday,False,False,False,False,False,False
2020-10-21,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,43,21,3,Wednesday,False,False,False,False,False,False
2020-10-22,2020,4,Q4,10,October,Oct,2020-10,2020-Q4,43,22,4,Thursday,False,False,False,False,False,False
