strategy,Information_Ratio,t_stat_alpha,p_value_alpha,Avg_Annual_Alpha,Tracking_Error_Annual,N_Days,Alpha_Test_Method,bootstrap_bootstrap_mean_alpha_daily,bootstrap_bootstrap_std,bootstrap_bootstrap_p_value,bootstrap_prob_alpha_leq_zero_bootstrap,bootstrap_bootstrap_p_value_two_sided_centered,bootstrap_bootstrap_ci_95_lower,bootstrap_bootstrap_ci_95_upper,bootstrap_bootstrap_ci_95_lower_annual,bootstrap_bootstrap_ci_95_upper_annual,bootstrap_observed_mean_alpha_daily,bootstrap_observed_mean_alpha_annual,bootstrap_n_bootstrap,bootstrap_block_size
ML_Full_EW,0.7387425063630905,1.8765966108081016,0.0605734022497572,0.1326618895346142,0.1795779833865566,1536,HAC_mean_alpha_maxlags=5,0.0005137856708768,0.0002580473705995,0.0198,0.0198,0.0448,2.3066829768281984e-05,0.0010358838226358,0.005812841101607,0.2610427233042447,0.0005264360695818,0.1326618895346142,5000,10
ML_Full_CW,0.8075288765672842,2.062206426552048,0.0391880871307543,0.1521902683997164,0.1884641810540081,1536,HAC_mean_alpha_maxlags=5,0.0005914506534387,0.0002705581981816,0.0154,0.0154,0.0318,6.264450837827721e-05,0.0011256439940274,0.0157864161113258,0.2836622864949272,0.0006039296365068,0.1521902683997164,5000,10
