rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,exposure,regime_scale,defense_scale,vol_scale,dd_scale,estimated_vol,regime_score,breadth_gate,benchmark_trend_gate,anchor_used,skipped_no_hold_dates,strategy,holdings_text,holding_count_from_text,year,month
2020-06-24,2020-06-24,2020-06-25,"['AMD', 'DXCM', 'CDNS', 'ISRG', 'TSLA', 'MU', 'LRCX', 'WBD', 'PAYX', 'AMAT']",10,4,4,0.5599421316906221,0.0006719305580287,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMD', 'DXCM', 'CDNS', 'ISRG', 'TSLA', 'MU', 'LRCX', 'WBD', 'PAYX', 'AMAT']",10,2020,2020-06
2020-07-09,2020-07-09,2020-07-10,"['WBD', 'MU', 'AMAT', 'DXCM', 'AMD', 'LRCX', 'BKNG', 'ROST', 'ADI', 'TSLA']",10,3,3,0.3199974834703754,0.0003839969801644,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['WBD', 'MU', 'AMAT', 'DXCM', 'AMD', 'LRCX', 'BKNG', 'ROST', 'ADI', 'TSLA']",10,2020,2020-07
2020-07-23,2020-07-23,2020-07-24,"['NVDA', 'WBD', 'JD', 'DXCM', 'PYPL', 'BKNG', 'ADI', 'AMAT', 'LRCX', 'MU']",10,3,3,0.3199974834703754,0.0003839969801644,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'WBD', 'JD', 'DXCM', 'PYPL', 'BKNG', 'ADI', 'AMAT', 'LRCX', 'MU']",10,2020,2020-07
2020-08-06,2020-08-06,2020-08-07,"['JD', 'WBD', 'AMAT', 'FTNT', 'MU', 'LRCX', 'DXCM', 'MCHP', 'NVDA', 'ADI']",10,2,2,0.3542483296148579,0.0004250979955378,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['JD', 'WBD', 'AMAT', 'FTNT', 'MU', 'LRCX', 'DXCM', 'MCHP', 'NVDA', 'ADI']",10,2020,2020-08
2020-08-20,2020-08-20,2020-08-21,"['WBD', 'DXCM', 'FTNT', 'NFLX', 'ROST', 'LRCX', 'MCHP', 'META', 'MU', 'NVDA']",10,3,3,0.4742458130852334,0.0005690949757022,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['WBD', 'DXCM', 'FTNT', 'NFLX', 'ROST', 'LRCX', 'MCHP', 'META', 'MU', 'NVDA']",10,2020,2020-08
2020-09-03,2020-09-03,2020-09-04,"['FTNT', 'AMZN', 'WBD', 'DXCM', 'AMD', 'ILMN', 'MELI', 'NFLX', 'NVDA', 'ROST']",10,4,4,0.4399949669407509,0.0005279939603289,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['FTNT', 'AMZN', 'WBD', 'DXCM', 'AMD', 'ILMN', 'MELI', 'NFLX', 'NVDA', 'ROST']",10,2020,2020-09
2020-09-18,2020-09-18,2020-09-21,"['AMD', 'AMZN', 'AAPL', 'FTNT', 'TSLA', 'NVDA', 'DXCM', 'MELI', 'NFLX', 'ILMN']",10,2,2,0.2,0.0002399999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMD', 'AMZN', 'AAPL', 'FTNT', 'TSLA', 'NVDA', 'DXCM', 'MELI', 'NFLX', 'ILMN']",10,2020,2020-09
2020-10-02,2020-10-02,2020-10-05,"['AAPL', 'CRM', 'TSLA', 'AMD', 'MELI', 'DXCM', 'FTNT', 'NVDA', 'QCOM', 'NFLX']",10,2,2,0.3333123629127873,0.0003999748354953,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AAPL', 'CRM', 'TSLA', 'AMD', 'MELI', 'DXCM', 'FTNT', 'NVDA', 'QCOM', 'NFLX']",10,2020,2020-10
2020-10-16,2020-10-16,2020-10-19,"['AAPL', 'CRM', 'AMD', 'NVDA', 'WBD', 'TSLA', 'MELI', 'NFLX', 'DXCM', 'QCOM']",10,1,1,0.1866505197594823,0.0002239806237113,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AAPL', 'CRM', 'AMD', 'NVDA', 'WBD', 'TSLA', 'MELI', 'NFLX', 'DXCM', 'QCOM']",10,2020,2020-10
2020-10-30,2020-10-30,2020-11-02,"['NVDA', 'CRM', 'TSLA', 'AAPL', 'DXCM', 'ADBE', 'AMD', 'WBD', 'NFLX', 'MELI']",10,1,1,0.0800025165296245,9.60030198355495e-05,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'CRM', 'TSLA', 'AAPL', 'DXCM', 'ADBE', 'AMD', 'WBD', 'NFLX', 'MELI']",10,2020,2020-10
2020-11-13,2020-11-13,2020-11-16,"['CRM', 'TSLA', 'NVDA', 'META', 'AAPL', 'ADBE', 'AMD', 'WDAY', 'MELI', 'DXCM']",10,2,2,0.3066480032298577,0.0003679776038758,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['CRM', 'TSLA', 'NVDA', 'META', 'AAPL', 'ADBE', 'AMD', 'WDAY', 'MELI', 'DXCM']",10,2020,2020-11
2020-11-30,2020-11-30,2020-12-01,"['AAPL', 'NVDA', 'AMZN', 'KLAC', 'DXCM', 'MELI', 'ADBE', 'META', 'AMD', 'TSLA']",10,2,2,0.2533224290312855,0.0003039869148375,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AAPL', 'NVDA', 'AMZN', 'KLAC', 'DXCM', 'MELI', 'ADBE', 'META', 'AMD', 'TSLA']",10,2020,2020-11
2020-12-14,2020-12-14,2020-12-15,"['BIIB', 'QCOM', 'META', 'DXCM', 'NVDA', 'WDAY', 'AAPL', 'AMZN', 'TSLA', 'AMD']",10,3,3,0.2800025165296245,0.0003360030198355,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['BIIB', 'QCOM', 'META', 'DXCM', 'NVDA', 'WDAY', 'AAPL', 'AMZN', 'TSLA', 'AMD']",10,2020,2020-12
2020-12-29,2020-12-29,2020-12-30,"['MELI', 'DXCM', 'QCOM', 'PYPL', 'BIIB', 'AMD', 'TSLA', 'NVDA', 'META', 'WDAY']",10,2,2,0.2799899338815018,0.0003359879206578,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['MELI', 'DXCM', 'QCOM', 'PYPL', 'BIIB', 'AMD', 'TSLA', 'NVDA', 'META', 'WDAY']",10,2020,2020-12
2021-01-28,2021-01-28,2021-01-29,"['AMZN', 'JD', 'AMAT', 'TSLA', 'NVDA', 'DXCM', 'MELI', 'QCOM', 'AMD', 'WDAY']",10,3,3,0.3722429701463843,0.0004466915641756,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMZN', 'JD', 'AMAT', 'TSLA', 'NVDA', 'DXCM', 'MELI', 'QCOM', 'AMD', 'WDAY']",10,2021,2021-01
2021-02-11,2021-02-11,2021-02-12,"['TSLA', 'MELI', 'LRCX', 'WBD', 'AMZN', 'MU', 'AMAT', 'QCOM', 'JD', 'DXCM']",10,3,3,0.3361214850731921,0.0004033457820878,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['TSLA', 'MELI', 'LRCX', 'WBD', 'AMZN', 'MU', 'AMAT', 'QCOM', 'JD', 'DXCM']",10,2021,2021-02
2021-02-26,2021-02-26,2021-03-01,"['TSLA', 'MELI', 'AMZN', 'WBD', 'PYPL', 'KLAC', 'QCOM', 'JD', 'MU', 'LRCX']",10,2,2,0.2,0.0002399999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['TSLA', 'MELI', 'AMZN', 'WBD', 'PYPL', 'KLAC', 'QCOM', 'JD', 'MU', 'LRCX']",10,2021,2021-02
2021-03-12,2021-03-12,2021-03-15,"['AMD', 'AMZN', 'JD', 'TSLA', 'MU', 'LRCX', 'QCOM', 'MELI', 'KLAC', 'PYPL']",10,1,1,0.1722429701463844,0.0002066915641756,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMD', 'AMZN', 'JD', 'TSLA', 'MU', 'LRCX', 'QCOM', 'MELI', 'KLAC', 'PYPL']",10,2021,2021-03
2021-03-26,2021-03-26,2021-03-29,"['MU', 'AMD', 'LRCX', 'AMAT', 'KLAC', 'MELI', 'TSLA', 'JD', 'QCOM', 'PYPL']",10,1,1,0.1730582749081684,0.0002076699298898,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['MU', 'AMD', 'LRCX', 'AMAT', 'KLAC', 'MELI', 'TSLA', 'JD', 'QCOM', 'PYPL']",10,2021,2021-03
2021-04-12,2021-04-12,2021-04-13,"['TSLA', 'AMD', 'AMAT', 'MELI', 'QCOM', 'KLAC', 'INTC', 'MCHP', 'MU', 'WBD']",10,3,3,0.4429911126354995,0.0005315893351625,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['TSLA', 'AMD', 'AMAT', 'MELI', 'QCOM', 'KLAC', 'INTC', 'MCHP', 'MU', 'WBD']",10,2021,2021-04
2021-04-26,2021-04-26,2021-04-27,"['TSLA', 'MELI', 'MCHP', 'QCOM', 'VRSK', 'LRCX', 'SNPS', 'KLAC', 'AMAT', 'AMD']",10,3,3,0.3142827186683989,0.000377139262402,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['TSLA', 'MELI', 'MCHP', 'QCOM', 'VRSK', 'LRCX', 'SNPS', 'KLAC', 'AMAT', 'AMD']",10,2021,2021-04
2021-05-10,2021-05-10,2021-05-11,"['AMAT', 'MELI', 'TSLA', 'LRCX', 'AAPL', 'SNPS', 'PYPL', 'JD', 'AMD', 'KLAC']",10,3,3,0.4429911126354996,0.0005315893351625,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMAT', 'MELI', 'TSLA', 'LRCX', 'AAPL', 'SNPS', 'PYPL', 'JD', 'AMD', 'KLAC']",10,2021,2021-05
2021-05-24,2021-05-24,2021-05-25,"['WBD', 'MELI', 'AMAT', 'LRCX', 'AMZN', 'TSLA', 'KLAC', 'AAPL', 'JD', 'AMD']",10,2,2,0.3536657002741294,0.0004243988403289,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['WBD', 'MELI', 'AMAT', 'LRCX', 'AMZN', 'TSLA', 'KLAC', 'AAPL', 'JD', 'AMD']",10,2021,2021-05
2021-06-08,2021-06-08,2021-06-09,"['WBD', 'AMAT', 'LRCX', 'AMZN', 'KLAC', 'NVDA', 'MELI', 'FTNT', 'TSLA', 'AAPL']",10,2,2,0.2408706917557896,0.0002890448301069,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['WBD', 'AMAT', 'LRCX', 'AMZN', 'KLAC', 'NVDA', 'MELI', 'FTNT', 'TSLA', 'AAPL']",10,2021,2021-06
2021-06-22,2021-06-22,2021-06-23,"['WBD', 'AMAT', 'LRCX', 'TSLA', 'AAPL', 'BIIB', 'MCHP', 'NVDA', 'KLAC', 'MELI']",10,2,2,0.2453986501582041,0.0002944783801898,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['WBD', 'AMAT', 'LRCX', 'TSLA', 'AAPL', 'BIIB', 'MCHP', 'NVDA', 'KLAC', 'MELI']",10,2021,2021-06
2021-07-07,2021-07-07,2021-07-08,"['AMAT', 'WBD', 'KLAC', 'NVDA', 'BIIB', 'AMD', 'LRCX', 'TSLA', 'MELI', 'MCHP']",10,1,1,0.0666719092718031,8.00062911261638e-05,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMAT', 'WBD', 'KLAC', 'NVDA', 'BIIB', 'AMD', 'LRCX', 'TSLA', 'MELI', 'MCHP']",10,2021,2021-07
2021-07-21,2021-07-21,2021-07-22,"['BIIB', 'AMAT', 'NVDA', 'TSLA', 'WBD', 'LRCX', 'KLAC', 'MELI', 'AMD', 'MCHP']",10,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['BIIB', 'AMAT', 'NVDA', 'TSLA', 'WBD', 'LRCX', 'KLAC', 'MELI', 'AMD', 'MCHP']",10,2021,2021-07
2021-08-04,2021-08-04,2021-08-05,"['NVDA', 'AMD', 'WBD', 'BIIB', 'TSLA', 'MELI', 'MCHP', 'LRCX', 'KLAC', 'AMAT']",10,0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'AMD', 'WBD', 'BIIB', 'TSLA', 'MELI', 'MCHP', 'LRCX', 'KLAC', 'AMAT']",10,2021,2021-08
2021-08-18,2021-08-18,2021-08-19,"['NVDA', 'AAPL', 'TSLA', 'AMD', 'MELI', 'WBD', 'AMAT', 'MCHP', 'LRCX', 'KLAC']",10,1,1,0.2071125277542954,0.0002485350333051,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'AAPL', 'TSLA', 'AMD', 'MELI', 'WBD', 'AMAT', 'MCHP', 'LRCX', 'KLAC']",10,2021,2021-08
2021-09-01,2021-09-01,2021-09-02,"['NVDA', 'AAPL', 'AMD', 'FTNT', 'JD', 'WBD', 'TSLA', 'MELI', 'LRCX', 'AMAT']",10,2,2,0.2567401148069537,0.0003080881377683,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'AAPL', 'AMD', 'FTNT', 'JD', 'WBD', 'TSLA', 'MELI', 'LRCX', 'AMAT']",10,2021,2021-09
2021-09-16,2021-09-16,2021-09-17,"['NVDA', 'AMD', 'MELI', 'BIIB', 'FTNT', 'MU', 'WBD', 'JD', 'MNST', 'LRCX']",10,3,3,0.3687578821983889,0.000442509458638,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'AMD', 'MELI', 'BIIB', 'FTNT', 'MU', 'WBD', 'JD', 'MNST', 'LRCX']",10,2021,2021-09
2021-09-30,2021-09-30,2021-10-01,"['MELI', 'AMD', 'AMZN', 'NVDA', 'JD', 'MNST', 'FTNT', 'LRCX', 'WBD', 'MU']",10,1,1,0.1199974834703754,0.0001439969801644,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['MELI', 'AMD', 'AMZN', 'NVDA', 'JD', 'MNST', 'FTNT', 'LRCX', 'WBD', 'MU']",10,2021,2021-09
2021-10-14,2021-10-14,2021-10-15,"['NVDA', 'MELI', 'AAPL', 'FTNT', 'JD', 'WBD', 'AMD', 'DXCM', 'LRCX', 'MU']",10,2,2,0.3066480032298578,0.0003679776038758,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'MELI', 'AAPL', 'FTNT', 'JD', 'WBD', 'AMD', 'DXCM', 'LRCX', 'MU']",10,2021,2021-10
2021-10-28,2021-10-28,2021-10-29,"['FTNT', 'AAPL', 'NVDA', 'WBD', 'MELI', 'JD', 'SNPS', 'ILMN', 'LRCX', 'AMD']",10,2,2,0.2166640453640984,0.0002599968544369,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['FTNT', 'AAPL', 'NVDA', 'WBD', 'MELI', 'JD', 'SNPS', 'ILMN', 'LRCX', 'AMD']",10,2021,2021-10
2021-11-11,2021-11-11,2021-11-12,"['AAPL', 'PYPL', 'TSLA', 'NVDA', 'WBD', 'MELI', 'JD', 'SNPS', 'AMD', 'FTNT']",10,2,2,0.3066480032298578,0.0003679776038758,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AAPL', 'PYPL', 'TSLA', 'NVDA', 'WBD', 'MELI', 'JD', 'SNPS', 'AMD', 'FTNT']",10,2021,2021-11
2021-11-26,2021-11-26,2021-11-29,"['MSFT', 'MELI', 'PYPL', 'WBD', 'TSLA', 'AAPL', 'DLTR', 'JD', 'NVDA', 'AMD']",10,2,2,0.2599924504111263,0.0003119909404933,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['MSFT', 'MELI', 'PYPL', 'WBD', 'TSLA', 'AAPL', 'DLTR', 'JD', 'NVDA', 'AMD']",10,2021,2021-11
2021-12-10,2021-12-10,2021-12-13,"['AMD', 'TSLA', 'MELI', 'INTU', 'NVDA', 'AMZN', 'FTNT', 'PYPL', 'WBD', 'QCOM']",10,4,4,0.4399949669407509,0.0005279939603289,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMD', 'TSLA', 'MELI', 'INTU', 'NVDA', 'AMZN', 'FTNT', 'PYPL', 'WBD', 'QCOM']",10,2021,2021-12
2021-12-27,2021-12-27,2021-12-28,"['AMD', 'QCOM', 'TSLA', 'NVDA', 'MELI', 'JD', 'FTNT', 'WBD', 'AAPL', 'ORCL']",10,3,3,0.3687578821983889,0.000442509458638,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['AMD', 'QCOM', 'TSLA', 'NVDA', 'MELI', 'JD', 'FTNT', 'WBD', 'AAPL', 'ORCL']",10,2021,2021-12
