strategy,feature_set,model,n_folds,daily_auc_mean,daily_auc_std,global_auc_mean,global_auc_std,top_k_ret_mean,top_k_ret_std,train_size_mean,test_size_mean
ML_Full_EW,Full,LGBM,7,0.49157980392636474,0.06191059457754576,0.49237008084084133,0.06150008968571463,0.0033525278500536,0.013026431705806038,112059.85714285714,14338.285714285714
ML_Full_EW,Full,LR,7,0.485572339367205,0.09168909043530377,0.49155168470344235,0.09018719169682822,7.572127937692916e-05,0.018592586194973847,42857.42857142857,14338.285714285714
ML_Full_EW,Full,RF,7,0.506242955602439,0.02742664838643368,0.5085623727900873,0.027630942164554348,0.006019791874588857,0.006367688835405934,42857.42857142857,14338.285714285714
