model,Total_Return,CAGR,Sharpe,Sortino,Max_Drawdown,Calmar,VaR_95,Win_Rate,MDD_Duration,Tail_Ratio,Avg_Daily_Ret,Std_Daily_Ret,N_Days,N_Rebalances,Avg_Holdings,Avg_N_Sold,Avg_N_Bought,Avg_Turnover_Est,Avg_Cost_Per_Rebalance,Pct_Full_Refresh
LGBM,4.308451701216659,0.31396079394625787,0.8500244962007583,1.171942343047789,-0.4145192783446251,0.7574093904632238,-0.034152529050893644,0.5390625,342,0.9746972055277788,0.0013271540779045098,0.021878255228457752,1536,148,9.993243243243244,2.135135135135135,2.2027027027027026,0.2712173425470061,0.00032546081105640733,0.0
LR,2.243771615915933,0.21224968043551096,0.6409457430093293,0.8865804250743688,-0.376529159171039,0.5637005136675116,-0.03072568403445969,0.5338541666666666,453,1.0226632483987856,0.0009675437955118301,0.020108436263469136,1536,148,10.0,4.29054054054054,4.358108108108108,0.49179024926414083,0.0005901482991169691,0.02702702702702703
RF,2.6271275465771016,0.23460274476630327,0.7120832684284228,0.9572153708879447,-0.322613613718275,0.7271941876921909,-0.0294957127788589,0.5455729166666666,303,0.9782089692788046,0.0010276808792514982,0.019440231001472283,1536,148,10.0,3.27027027027027,3.3378378378378377,0.3864967840628882,0.00046379614087546574,0.0
