,N_Rebalances,Avg_Holdings,Avg_N_Sold,Avg_N_Bought,Avg_Turnover_Est,Avg_Cost_Per_Rebalance,Pct_Full_Refresh
ML_Full_EW,148.0,10.0,3.2837837837837838,3.3513513513513513,0.6635135135135135,0.0007962162162162161,0.0
ML_Full_CW,148.0,10.0,3.2837837837837838,3.3513513513513513,0.6635135135135135,0.0007962162162162161,0.0
