combo,CAGR_d,MDD_d,Sharpe_d,Calmar_d,CAGR_h,MDD_h,Sharpe_h,Calmar_h,CAGR_f,MDD_f,Sharpe_f,Calmar_f
EW_baseline,0.3367682404453056,-0.3716861302702744,0.8660319727347433,0.9060554403803608,0.26191076838001637,-0.21935624853593993,0.8543575459460803,1.1939972994984194,0.30921090475163093,-0.3716861302702744,0.854311391732343,0.831914025220112
CW_baseline,0.36067498924852703,-0.37632105501885726,0.907643730022736,0.9584236237604451,0.28581761375193393,-0.20846497767002004,0.8781193040833255,1.371058184192242,0.33307187492496526,-0.37632105501885726,0.8931452092437722,0.8850737169310795
EW+SMA@0.70,0.29771460431773944,-0.3624222404792501,0.855155485897492,0.8214578772098966,0.22469766627777887,-0.19085294691592103,0.8091263086459334,1.1773340150559368,0.27090317256236784,-0.3624222404792501,0.8346714650766502,0.7474794378075095
EW+SMA@0.50,0.268149167715926,-0.3564409794911365,0.8259526437704989,0.7522961251502059,0.19877580898458969,-0.17224813799065375,0.7554589384886119,1.154008463042865,0.2427236684802765,-0.3564409794911365,0.7991645128353977,0.6809645423676999
EW+SMA@0.30,0.23598979950185628,-0.35061550366782523,0.7696113723843381,0.6730729161521452,0.1720224069111238,-0.15399816560442003,0.6774830533405601,1.1170419221291454,0.21259588761893888,-0.35061550366782523,0.7372684758146572,0.6063505047408092
EW+sector0.30,0.3767882147298387,-0.3716861302702743,0.9502693678550523,1.0137268626511686,0.22363504016264724,-0.23381175465504245,0.7443399910356681,0.9564747524887721,0.319982137175687,-0.3716861302702743,0.8829677656561644,0.8608934020298515
EW+sector0.25,0.3689096116864401,-0.3716861302702743,0.9347043961108412,0.9925299376067241,0.21313798902698733,-0.23327817910378668,0.7136050519943767,0.913664492091912,0.31111212953233447,-0.3716861302702743,0.8632680387896841,0.8370291603458729
EW+vol0.20,0.2811012752133488,-0.3070991197349753,0.8420461967903341,0.91534379992993,0.22341170118385967,-0.18559050659302767,0.8019591633118898,1.2037884118381563,0.2599059197164362,-0.3070991197349753,0.8254094110756627,0.8463258375365369
EW+breadth,0.27684703973090863,-0.36091232284490027,0.8101666447656346,0.7670756086925905,0.21742777815653258,-0.18742211799026942,0.7849287912117248,1.1600966870293346,0.2550318617181362,-0.36091232284490027,0.7964352195935555,0.7066310723553058
EW+dd_stop,0.3367682404453056,-0.3716861302702744,0.8660319727347433,0.9060554403803608,0.26191076838001637,-0.21935624853593993,0.8543575459460803,1.1939972994984194,0.30921090475163093,-0.3716861302702744,0.854311391732343,0.831914025220112
CW+SMA@0.70,0.31893283090424296,-0.3670349160580969,0.9004634224537407,0.8689441166239344,0.2390495773802379,-0.19775231155938766,0.819733159732532,1.208833289963582,0.28956785616127023,-0.3670349160580969,0.8712625985271588,0.7889381731612568
CW+SMA@0.50,0.2874116242148437,-0.3610463945257424,0.8730212005076567,0.7960517777566434,0.20668103152357342,-0.19775231155938766,0.7535464754197644,1.0451510270285986,0.25779109420302126,-0.3610463945257424,0.832564996242664,0.7140109916944232
CW+SMA@0.30,0.2531931008944992,-0.3552197179835487,0.8168714555024645,0.712778846658015,0.17345609147041174,-0.19775231155938766,0.6591635953164313,0.877138123456628,0.2239955185552145,-0.3552197179835487,0.7652279504106793,0.630583008811432
CW+sector0.30,0.39556184564310404,-0.3763210550188567,0.9815317039917899,1.0511286582763306,0.2841669913965148,-0.22220228995224245,0.8975863238267795,1.2788661694602261,0.35443125376800877,-0.3763210550188567,0.9495317758737669,0.9418321112812806
CW+SMA@0.50+sector0.30,0.31323524267859537,-0.36104639452574183,0.9459013780260317,0.8675761548319862,0.21255637673186545,-0.17623628315905981,0.7911816258907649,1.2060874918703623,0.2762089574265105,-0.36104639452574183,0.8942250549275782,0.765023447441787
CW+SMA@0.30+sector0.30,0.2756947225294566,-0.3552197179835481,0.8863215650590787,0.7761244902013725,0.18237352475956214,-0.1587966726872755,0.7066821560823264,1.148471952675718,0.24145101853591733,-0.3552197179835481,0.8276879366146528,0.6797230173666768
CW+SMA@0.50+vol0.20,0.24271456103347155,-0.2975116781279413,0.8518369292083713,0.8158152397940328,0.20038644687052343,-0.16064073409800084,0.8010156981669447,1.2474198900776639,0.22715098245932142,-0.2975116781279413,0.8335145197583445,0.7635027434507557
CW+SMA@0.30+vol0.20,0.2151453418942082,-0.2924669463511569,0.7943029586358503,0.7356227586685614,0.1733193189676452,-0.16064073409800106,0.7144648448389123,1.0789250929462846,0.19981780300185692,-0.2924669463511569,0.7671655986870795,0.6832149940183028
EW+SMA@0.30+sector0.30,0.2621987942805375,-0.35061550366782523,0.8495681614637065,0.7478243019422948,0.14405746376638828,-0.16351914474995222,0.5651619040347585,0.8809822482051013,0.21872149085728188,-0.35061550366782523,0.7605232917274397,0.6238215040955509
CW+SMA@0.30+sector0.30+vol0.20,0.2314576445476384,-0.29246694635115733,0.8543565879807401,0.7913976175267796,0.16634426206141018,-0.1388989360317645,0.6880084202245141,1.1975920537171663,0.20765386327458923,-0.29246694635115733,0.7996664842648787,0.7100079713803444
