number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,state,fold,model,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,params_bagging_fraction,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_min_child_samples,params_num_leaves
0,0.5266064342267812,2026-04-22 17:15:15.185951,2026-04-22 17:15:18.964027,0 days 00:00:03.778076,0.03148911647956861,balanced,COMPLETE,1,LR,,,,,,,,,,,
1,0.5240696338015907,2026-04-22 17:15:18.964139,2026-04-22 17:15:23.036539,0 days 00:00:04.072400,0.24810409748678125,balanced,COMPLETE,1,LR,,,,,,,,,,,
2,0.5259367238961509,2026-04-22 17:15:23.036608,2026-04-22 17:15:26.411419,0 days 00:00:03.374811,0.0017073967431528124,balanced,COMPLETE,1,LR,,,,,,,,,,,
0,0.5114333751799097,2026-04-22 17:15:28.738009,2026-04-22 17:15:42.085342,0 days 00:00:13.347333,,,COMPLETE,1,RF,12.0,0.5993292420985183,38.0,350.0,,,,,,,
1,0.5300809217432451,2026-04-22 17:15:42.085400,2026-04-22 17:15:49.852257,0 days 00:00:07.766857,,,COMPLETE,1,RF,4.0,0.7330880728874676,7.0,250.0,,,,,,,
2,0.5145508367247547,2026-04-22 17:15:49.852308,2026-04-22 17:16:08.276327,0 days 00:00:18.424019,,,COMPLETE,1,RF,10.0,0.7849549260809972,5.0,450.0,,,,,,,
0,0.49876980634224394,2026-04-22 17:16:12.911567,2026-04-22 17:16:22.194116,0 days 00:00:09.282549,,,COMPLETE,1,LGBM,,,,300.0,0.6545980821176709,0.6046065241548528,0.2904180608409973,4.330880728874676,0.03968793330444373,47.0,61.0
1,0.5038157124496214,2026-04-22 17:16:22.194178,2026-04-22 17:16:32.361183,0 days 00:00:10.167005,,,COMPLETE,1,LGBM,,,,400.0,0.6743186887373966,0.8413549242801477,0.9091248360355031,0.9170225492671691,0.09330606024425668,11.0,49.0
2,0.5110827804267919,2026-04-22 17:16:32.361242,2026-04-22 17:16:39.260399,0 days 00:00:06.899157,,,COMPLETE,1,LGBM,,,,250.0,0.6488228512282146,0.7641485131528328,1.4607232426760908,1.8318092164684585,0.019553708662745254,32.0,40.0
